pid	X1	X2	label
0	3.0372	1.5258	1
1	3.0662	1.0516	1
2	3.0224	1.0201	1
3	3.0547	1.0039	1
4	2.4263	1.4484	1
5	2.6825	1.3079	1
6	2.7258	1.1416	1
7	2.1676	1.2663	1
8	2.6433	1.3183	1
9	2.6702	1.2814	1
10	2.682	1.2247	1
11	2.4976	1.2834	1
12	2.9185	1.1097	1
13	2.9438	1.0086	1
14	2.5947	1.2939	1
15	2.5143	1.2589	1
16	3.0359	1.9281	1
17	2.9973	1.0465	1
18	2.7079	1.1276	1
19	2.6614	1.1941	1
20	2.5921	1.2915	1
21	2.5581	-3.2487	-1
22	2.6587	-3.2117	-1
23	2.759	-3.2089	-1
24	2.5493	-3.2266	-1
25	2.5855	-3.1904	-1
26	2.6241	-3.2034	-1
27	2.5275	-3.2341	-1
28	2.583	-3.3175	-1
29	2.6012	-3.2268	-1
30	2.6598	-3.2099	-1
31	2.7941	-3.7351	-1
32	2.9	-3.11	-1
33	2.5589	-3.247	-1
34	2.94	-3.15	-1
35	2.8522	-3.1055	-1
36	2.796	-3.139	-1
37	2.72	-3.21	-1
38	2.89	-3.15	-1
39	2.73	-3.19	-1
40	3.0383	-3.0143	-1
41	2.88	-3.07	-1
42	2.8236	-3.9874	-1
43	3	-3.16	-1
44	2.8486	-3.0893	-1
45	2.7937	-3.1105	-1
46	2.7611	-3.0057	-1
47	2.79	-3.15	-1
48	2.802	-3.122	-1
49	2.839	-3.999	-1


